id;template_name;description;protocol_supported
1;Borders back-end Tasty;tan Shirt collaborative;markets
2;Soft Credit Card Account;Avon navigate optical;Bedfordshire support
3;array;system withdrawal Officer;plug-and-play users productize
4;time-frame Producer panel;Tenge;online Home
5;monitor matrix;Ergonomic Granite Tuna value-added Handmade;navigate Rustic
6;Shirt PCI alarm;harness Minnesota Kids;Beauty encryption Expanded
7;web-enabled Central;mindshare Awesome Plastic Shoes content-based;Fundamental plug-and-play
8;Crest ubiquitous;Berkshire;bleeding-edge Indiana
9;grid-enabled Books Tanzania;holistic;B2B streamline
10;partnerships;Baby;productivity Shoes FTP
