id;uom;controlled_tag;register;slave_id;count;mask;poll_interval
1;override Bolivar Fuerte;true;23748;73668;80655;integrate index ADP;36130
2;Games concept;true;33943;71424;67842;Mouse seamless Plastic;88411
3;bandwidth deposit deposit;false;13644;59891;1551;Incredible Granite Chips;22409
4;Movies;false;42133;58528;75921;enable value-added Course;16215
5;target Practical Wooden Table;false;5982;67808;1554;wireless;19425
6;Unbranded Cotton Car Incredible Wooden Bacon infrastructure;true;94291;19384;94390;neural Dynamic;43827
7;real-time USB;false;88346;87650;54263;Response;99520
8;Arkansas Cambridgeshire Chips;true;97698;72084;91693;multi-state;84223
9;facilitate Yuan Renminbi;true;76065;1946;3258;Shoals Accounts;37924
10;olive;true;48141;93533;82136;interface;52176
