id;device_name;device_type;model;description
1;systemic;Bacon program;25050;HTTP
2;Soap Toys bandwidth;bandwidth Harbors paradigms;59622;Car Versatile
3;Handmade;Ethiopia;98746;Generic Fresh Chair
4;Malagasy Ariary Avon Fiji Dollar;Human service-desk Borders;93735;West Virginia teal
5;indigo Avon Grass-roots;turquoise;17375;Unbranded Bedfordshire
6;orchestrate;Maine Tasty Fresh Pizza;90030;functionalities
7;Ergonomic ADP;Data sky blue Generic Metal Bike;81288;purple Personal Loan Account
8;mobile open-source system;solid state Future parse;28746;California Unbranded Dynamic
9;Direct capacitor;Chicken copying bus;36237;Nevada
10;Money Market Account synthesize Technician;HTTP;67401;access value-added
